term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"summary","RU","A","2","monthly-cfo-support.html","PROSE","Ежемесячный управленческий summary.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"premium","RU","A","2","monthly-cfo-support.html","PROSE","Финансовый директор искусственный интеллект Control · premium","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Power BI monitoring","RU","A","2","monthly-cfo-support.html","PROSE","Автоматизация отчётности, Power BI monitoring, Make / n8n сценарии, Telegram / email alerts.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Aging","RU","A","2","monthly-cfo-support.html","PROSE","Aging дебиторки и просроченные платежи.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"deliverable","RU","A","2","real-estate-control-system.html","PROSE","Что получает собственник (deliverable)","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"QA-","RU","A","2","retail-margin-engine.html","PROSE","QA-метрики описывают качество модели и расчётной логики; они не являются гарантией финансового результата клиента.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Executive","RU","A","2","retail-margin-engine.html","PROSE","Executive панель собственника","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Scorecard","RU","A","2","retail-margin-engine.html","PROSE","Supplier Scorecard","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Promo economics","RU","A","2","retail-margin-engine.html","PROSE","Promo economics","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier score","RU","A","2","retail-margin-engine.html","PROSE","Supplier score","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Shelf financing","RU","A","2","retail-margin-engine.html","PROSE","Shelf financing","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Target Margin","RU","A","2","retail-margin-engine.html","CARD","Target Margin","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Credit","RU","A","2","retail-margin-engine.html","CARD","Supplier Credit","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"accounts payable","RU","A","2","retail-margin-engine.html","PROSE","Доля stock value, покрытая отсрочкой и accounts payable.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"stock value","RU","A","2","retail-margin-engine.html","PROSE","Доля stock value, покрытая отсрочкой и accounts payable.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Top credit quality","RU","A","2","retail-margin-engine.html","PROSE","Top credit quality","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"slow movers","RU","A","2","retail-margin-engine.html","CARD","Вклад в маржу и cash flow, Margin Gap, slow movers, stock risk.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"stock risk","RU","A","2","retail-margin-engine.html","CARD","Вклад в маржу и cash flow, Margin Gap, slow movers, stock risk.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Financing coverage","RU","A","2","retail-margin-engine.html","CARD","Financing coverage","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Credit class","RU","A","2","retail-margin-engine.html","CARD","Credit class","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"target margin","RU","A","2","retail-margin-engine.html","PROSE","Собираем система управления маржой в рознице под экономику бизнеса: target margin, placement, supplier credit, QA и панель собственника.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"QA","RU","A","2","retail-margin-engine.html","PROSE","Собираем система управления маржой в рознице под экономику бизнеса: target margin, placement, supplier credit, QA и панель собственника.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"financing coverage","RU","A","2","retail-margin-engine.html","CARD","Проверяется отсутствие ошибок в движке кредита и ограничение financing coverage до 100%.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Effective Purchase Cost","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","Effective Purchase Cost","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Impact of VAT","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","Cash Impact of VAT","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Decision Matrix","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","Decision Matrix для одинакового товара","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Decision Score","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","Supplier Decision Score","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Approved Supplier","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","Approved Supplier","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Conditional Supplier","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","Conditional Supplier","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Exception","RU","A","2","supplier-rating-purchasing-priorities.html","PROSE","Exception / Stop","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"cash impact of VAT","RU","A","2","supplier-rating-purchasing-priorities.html","CARD","Считает cash impact of VAT и сроки заморозки","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Score","RU","A","2","supplier-rating-purchasing-priorities.html","CARD","Supplier Score","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Approval Flow","RU","A","2","supplier-rating-purchasing-priorities.html","CARD","Approval Flow","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Same Product Comparison","RU","A","2","supplier-rating-purchasing-priorities.html","CARD","Same Product Comparison","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Impact","RU","A","2","supplier-rating-purchasing-priorities.html","CARD","Денежный поток Impact","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Procurement Decision","RU","A","2","supplier-rating-purchasing-priorities.html","CARD","Procurement Decision","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"stop","RU","A","2","supplier-rating-purchasing-priorities.html","CARD","Купить / согласовать / вести переговоры / stop","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Payroll Fund","RU","A","2","treasury-waterfall.html","CARD","Payroll Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Tax Fund","RU","A","2","treasury-waterfall.html","CARD","Tax Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Debt Service Fund","RU","A","2","treasury-waterfall.html","CARD","Debt Service Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Critical Suppliers Fund","RU","A","2","treasury-waterfall.html","CARD","Critical Suppliers Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Utilities Fund","RU","A","2","treasury-waterfall.html","CARD","Rent / Utilities Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Rent","RU","A","2","treasury-waterfall.html","CARD","Rent / Utilities Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Construction","RU","A","2","treasury-waterfall.html","CARD","Construction / капитальные вложения Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Compliance Fund","RU","A","2","treasury-waterfall.html","CARD","Legal / Compliance Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Reserve Fund","RU","A","2","treasury-waterfall.html","CARD","Reserve Fund","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Mandatory","RU","A","2","treasury-waterfall.html","CARD","Survival / Mandatory","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Survival","RU","A","2","treasury-waterfall.html","CARD","Survival / Mandatory","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Operating Continuity","RU","A","2","treasury-waterfall.html","CARD","Operating Continuity","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Revenue Protection","RU","A","2","treasury-waterfall.html","CARD","Revenue Protection","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Development","RU","A","2","treasury-waterfall.html","CARD","Development / капитальные вложения","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Liquidity","RU","A","2","treasury-waterfall.html","CARD","Reserve / Liquidity","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Critical","RU","A","2","treasury-waterfall.html","CARD","Critical / Legal / Blocking","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Blocking","RU","A","2","treasury-waterfall.html","CARD","Critical / Legal / Blocking","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Business Continuity","RU","A","2","treasury-waterfall.html","CARD","Business Continuity","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Planned Operating","RU","A","2","treasury-waterfall.html","CARD","Planned Operating","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash Coverage","RU","A","2","treasury-waterfall.html","PROSE","Cash Coverage","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Minimum Liquidity Reserve","RU","A","2","treasury-waterfall.html","PROSE","= Available Cash − P0 Coverage − P1 Coverage − Minimum Liquidity Reserve","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"scoring-","RU","A","2","treasury-waterfall.html","PROSE","Пример scoring-модели платежа","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Green coverage","RU","A","2","treasury-waterfall.html","CARD","Блокировать до Green coverage","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Allowed","RU","A","2","treasury-waterfall.html","PROSE","Owner оптовая торговля / дистрибуция Allowed","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"target","RU","A","2","treasury-waterfall.html","PROSE","= TRUE только если 7/14/30 Coverage ≥ target и Funding Gap = 0","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"TRUE","RU","A","2","treasury-waterfall.html","PROSE","= TRUE только если 7/14/30 Coverage ≥ target и Funding Gap = 0","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Required Payments","RU","A","2","treasury-waterfall.html","PROSE","= Required Payments − Available Cash","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"HR","RU","A","2","treasury-waterfall.html","CARD","Finance / HR","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Accounting","RU","A","2","treasury-waterfall.html","CARD","Accounting","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Operations","RU","A","2","treasury-waterfall.html","CARD","Operations","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Department Head","RU","A","2","treasury-waterfall.html","CARD","Department Head","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Project Manager","RU","A","2","treasury-waterfall.html","CARD","Project Manager","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Mandatory payments","RU","A","2","treasury-waterfall.html","PROSE","Cash today, Confirmed inflows, Mandatory payments, Free Treasury Cash, Funding Gap, Payment Queue, Blocked payments, 7/14/30 coverage.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Confirmed inflows","RU","A","2","treasury-waterfall.html","PROSE","Cash today, Confirmed inflows, Mandatory payments, Free Treasury Cash, Funding Gap, Payment Queue, Blocked payments, 7/14/30 coverage.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Blocked payments","RU","A","2","treasury-waterfall.html","PROSE","Cash today, Confirmed inflows, Mandatory payments, Free Treasury Cash, Funding Gap, Payment Queue, Blocked payments, 7/14/30 coverage.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash today","RU","A","2","treasury-waterfall.html","PROSE","Cash today, Confirmed inflows, Mandatory payments, Free Treasury Cash, Funding Gap, Payment Queue, Blocked payments, 7/14/30 coverage.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"approval","RU","A","2","treasury-waterfall.html","CARD","Платёж уходит ответственному на approval","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"blocked payments","RU","A","2","treasury-waterfall.html","CARD","Finance, финансовый директор и собственник получают alerts по Funding Gap и blocked payments","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Daily treasury report","RU","A","2","treasury-waterfall.html","CARD","Daily treasury report","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Payment Waterfall","RU","A","2","treasury-waterfall.html","CARD","Payment Waterfall","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Blocked Payments","RU","A","2","treasury-waterfall.html","CARD","Blocked Payments","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Approved but Unpaid","RU","A","2","treasury-waterfall.html","CARD","Approved but Unpaid","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Gate","RU","A","2","treasury-waterfall.html","CARD","Owner оптовая торговля / дистрибуция Gate","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"FAQ","RU","A","2","treasury-waterfall.html","PROSE","FAQ","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"consent","RU","A","2","working-capital-scan.html","PROSE","Поля необязательны — мини-скан работает и без них. Для передачи результата FINMENTOR нужен consent; если webhook не подключён, используйте «Скопировать результа","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"webhook","RU","A","2","working-capital-scan.html","PROSE","Поля необязательны — мини-скан работает и без них. Для передачи результата FINMENTOR нужен consent; если webhook не подключён, используйте «Скопировать результа","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"High","RO","A","2","ro/ai-agent-economics.html","PROSE","High ✓","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Insufficient","RO","A","2","ro/ai-agent-economics.html","PROSE","Insufficient ×","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Tools","RO","A","2","ro/ai-agent-economics.html","PROSE","Tools","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Infrastructure","RO","A","2","ro/ai-agent-economics.html","PROSE","Infrastructure","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"HUMAN","RO","A","2","ro/ai-agent-economics.html","PROSE","HUMAN","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"HYBRID","RO","A","2","ro/ai-agent-economics.html","PROSE","HYBRID","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Economy","RO","A","2","ro/ai-agent-economics.html","PROSE","Economy","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Frontier","RO","A","2","ro/ai-agent-economics.html","PROSE","Frontier","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Autonomy","RO","A","2","ro/ai-agent-economics.html","PROSE","Autonomy","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Escalation","RO","A","2","ro/ai-agent-economics.html","PROSE","Escalation","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Outcome","RO","A","2","ro/ai-agent-economics.html","PROSE","Cost / Outcome","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Variance","RO","A","2","ro/ai-agent-economics.html","PROSE","Variance","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Management flow","RO","A","2","ro/ai-agent-economics.html","PROSE","Management flow: de la cheltuieli la decizie","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Quality & Risk","RO","A","2","ro/ai-agent-economics.html","PROSE","Quality & Risk","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Governance & Budget","RO","A","2","ro/ai-agent-economics.html","PROSE","Governance & Budget","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Actual","RO","A","2","ro/ai-agent-economics.html","PROSE","Actual, variance, benefits, risks and EXTINDERE / OPTIMIZARE / OPRIRE.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Cash flow","RO","A","2","ro/cases.html","PROSE","Cash flow-ul este blocat în creanțe și stocuri.","1","LOW","Денежный поток","Flux de numerar","YES","AUTO_RESOLVED","","NO","MEDIUM","PASS","AUTO-RESOLVED — casing/inflection form of the approved concept ""Cash&nbsp;Flow""."
"Renewal Propensity","RO","A","2","ro/client-base-control-system.html","PROSE",". Compozitul a trei factori comportamentali — frecvența, profunzimea serviciilor, activitatea de grup — plasează fiecare client într-una dintre zonele indicativ","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"ERV","RO","A","2","ro/client-base-control-system.html","PROSE","Logică universală pentru orice plăți recurente: abonamente, contracte de servicii, închirierea locurilor și a spațiilor de lucru, abonamente B2B. Profilul activ","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"after Fixed Costs","RO","A","2","ro/fcf-postavshiki.html","CARD","Nivelul 2 · after Fixed Costs","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Days Payable Outstanding","RO","A","2","ro/fcf-postavshiki.html","PROSE",", Days Payable Outstanding — termenul în care aveți dreptul să nu plătiți furnizorului). Cât timp amânarea este în vigoare, marfa este deja la dvs., o puteți vi","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Allocated Fixed Cost","RO","A","2","ro/fcf-postavshiki.html","PROSE","Allocated Fixed Cost articol de stoc","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Allocation Base","RO","A","2","ro/fcf-postavshiki.html","PROSE","= Total Fixed Cost Pool × (Articol de stoc Allocation Base ÷ Total Allocation Base)","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Allocated Fixed Costs","RO","A","2","ro/fcf-postavshiki.html","PROSE","= Direct CFSKU − Allocated Fixed Costs","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Management overhead","RO","A","2","ro/fcf-postavshiki.html","CARD","Management overhead","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Overhead","RO","A","2","ro/fcf-postavshiki.html","CARD","Overhead-ul se repartizează după contribuția economică","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"but Own-Funded","RO","A","2","ro/fcf-postavshiki.html","PROSE","Profit, but Own-Funded","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Fixed Costs","RO","A","2","ro/fcf-postavshiki.html","CARD","Fixed Costs","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"CFSKU after Fixed","RO","A","2","ro/fcf-postavshiki.html","CARD","CFSKU after Fixed","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Benefit","RO","A","2","ro/fcf-postavshiki.html","CARD","Supplier Benefit","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Destroyer","RO","A","2","ro/fcf-postavshiki.html","PROSE","— Generator / Supplier-Financed / Own-Funded / Destroyer și decizia sub fiecare.","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier-Funded","RO","A","2","ro/fcf-postavshiki.html","CARD","Supplier-Funded articol de stoc","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Own-Funded Gap","RO","A","2","ro/fcf-postavshiki.html","CARD","Own-Funded Gap","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Marketing Impact","RO","A","2","ro/fcf-postavshiki.html","CARD","Marketing Impact","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Fixed Cost Allocation","RO","A","2","ro/fcf-postavshiki.html","CARD","Fixed Cost Allocation","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Margin","RO","A","2","ro/margin-factor-analysis-flags.html","PROSE","Δ Margin","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Margin Growth Flag","RO","A","2","ro/margin-factor-analysis-flags.html","PROSE","1. Margin Growth Flag","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Mix Flag","RO","A","2","ro/margin-factor-analysis-flags.html","PROSE","3. Mix Flag","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Price Flag","RO","A","2","ro/margin-factor-analysis-flags.html","PROSE","5. Price Flag","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Marketing Activity Flag","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Marketing Activity Flag","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Marketing Spend","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Marketing Spend","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Discount Depth","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Discount Depth","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Campaign ROI","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Campaign ROI","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stock-out Days","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Stock-out Days","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Lost Sales Estimate","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Lost Sales Estimate","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Seasonality Flag","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Seasonality Flag","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Comparable Period Flag","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Comparable Period Flag","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"YoY Comparison","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","YoY Comparison","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Seasonal Index","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Seasonal Index","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Channel Mix","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Channel Mix","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Customer Mix","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Customer Mix","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Discount Policy","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Discount Policy","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Product Lifecycle","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Product Lifecycle","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Returns Rate","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Returns Rate","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier Change","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Supplier Change","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Currency Impact","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","FX / Currency Impact","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Logistics Cost Impact","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Logistics Cost Impact","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"VAT","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","VAT / Import Cost","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"One-off Deals","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","One-off Deals","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Supplier terms improved","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Supplier terms improved","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Stock Availability","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Stock Availability","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Seasonality","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Seasonality","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Marketing Activity","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Marketing Activity","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Comparable Period","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Comparable Period","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Logistics","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","FX / Logistics","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
"Margin Bridge","RO","A","2","ro/margin-factor-analysis-flags.html","CARD","Margin Bridge","1","LOW","","","NO","NO","","NO","MEDIUM","FAIL","wording not yet proposed — long tail"
